title,abstract,authors,categories
On Existence of Boundary Values of Polyharmonic Functions,"  In trigonometric series terms all polyharmonic functions inside the unit disk
are described. For such functions it is proved the existence of their boundary
values on the unit circle in the space of hyperfunctions. The necessary and
sufficient conditions are presented for the boundary value to belong to certain
subspaces of the space of hyperfunctions.
","M. L. Gorbachuk, S. M. Torba",math.FA math.AP
"Constraints on the Self-Interaction Cross-Section of Dark Matter from
  Numerical Simulations of the Merging Galaxy Cluster 1E 0657-5","  (Abridged) We compare recent results from X-ray, strong lensing, weak
lensing, and optical observations with numerical simulations of the merging
galaxy cluster 1E0657-56. X-ray observations reveal a bullet-like subcluster
with a prominent bow shock, while lensing results show that the positions of
the total mass peaks are consistent with the centroids of the collisionless
galaxies (and inconsistent with the X-ray brightness peaks). Previous studies,
based on older observational datasets, have placed upper limits on the
self-interaction cross-section of dark matter per unit mass, sigma/m, using
simplified analytic techniques. In this work, we take advantage of new,
higher-quality observational datasets by running N-body simulations of
1E0657-56 that include the effects of self-interacting dark matter, and
comparing the results with observations. Furthermore, the recent data allow for
a new independent method of constraining sigma/m, based on the non-observation
of an offset between the bullet subcluster mass peak and galaxy centroid. This
new method places an upper limit (68% confidence) of sigma/m < 1.25 cm^2/g. If
we make the assumption that the subcluster and the main cluster had equal
mass-to-light ratios prior to the merger, we derive our most stringent
constraint of sigma/m < 0.7 cm^2/g, which comes from the consistency of the
subcluster's observed mass-to-light ratio with the main cluster's, and with the
universal cluster value, ruling out the possibility of a large fraction of dark
matter particles being scattered away due to collisions. Our limit is a slight
improvement over the previous result from analytic estimates, and rules out
most of the 0.5 - 5cm^2/g range invoked to explain inconsistencies between the
standard collisionless cold dark matter model and observations.
","Scott W. Randall, Maxim Markevitch, Douglas Clowe, Anthony H.
  Gonzalez, and Marusa Bradac",astro-ph
Stringy Instantons at Orbifold Singularities,"  We study the effects produced by D-brane instantons on the holomorphic
quantities of a D-brane gauge theory at an orbifold singularity. These effects
are not limited to reproducing the well known contributions of the gauge theory
instantons but also generate extra terms in the superpotential or the
prepotential. On these brane instantons there are some neutral fermionic
zero-modes in addition to the ones expected from broken supertranslations. They
are crucial in correctly reproducing effects which are dual to gauge theory
instantons, but they may make some other interesting contributions vanish. We
analyze how orientifold projections can remove these zero-modes and thus allow
for new superpotential terms. These terms contribute to the dynamics of the
effective gauge theory, for instance in the stabilization of runaway
directions.
","Riccardo Argurio, Matteo Bertolini, Gabriele Ferretti, Alberto Lerda
  and Christoffer Petersson",hep-th
Turbulent Diffusion of Lines and Circulations,"  We study material lines and passive vectors in a model of turbulent flow at
infinite-Reynolds number, the Kraichnan-Kazantsev ensemble of velocities that
are white-noise in time and rough (Hoelder continuous) in space. It is argued
that the phenomenon of ``spontaneous stochasticity'' generalizes to material
lines and that conservation of circulations generalizes to a ``martingale
property'' of the stochastic process of lines.
",Gregory L. Eyink,physics.flu-dyn physics.plasm-ph
Gluon Radiation of an Expanding Color Skyrmion in the Quark-Gluon Plasma,"  The density of states and energy spectrum of the gluon radiation are
calculated for the color current of an expanding hydrodynamic skyrmion in the
quark gluon plasma with a semiclassical method. Results are compared with those
in literatures.
",Jian Dai,hep-ph hep-th nucl-th
REM near-IR and optical multiband observations of PKS2155-304 in 2005,"  Spectral variability is the main tool for constraining emission models of BL
  Lac objects. By means of systematic observations of the BL Lac prototype PKS
2155-304 in the infrared-optical band, we explore variability on the scales of
months, days and hours. We made our observations with the robotic 60 cm
telescope REM located at La Silla, Chile. VRIJHK filters were used. PKS
2155-304 was observed from May to December 2005. The wavelength interval
explored, the total number of photometric points and the short integration time
render our photometry substantially superior to previous ones for this source.
On the basis of the intensity and colour we distinguish three different states
of the source, each of duration of months, which include all those described in
the literature. In particular, we report the highest state ever detected in the
H band. The source varied by a factor of 4 in this band, much more than in the
V band (a factor ~2). The source softened with increasing intensity, contrary
to the general pattern observed in the UV-X-ray bands. On five nights of
November we had nearly continuous monitoring for 2-3 hours. A variability
episode with a time scale of ~24 h is well documented, a much more rapid flare
with t=1-2 h, is also apparent, but is supported by relatively few points.
","A. Dolcini, F. Farfanelli, S. Ciprini, A. Treves, S. Covino, G. Tosti,
  E. Pian, B. Sbarufatti, E. Molinari, G. Chincarini, F.M. Zerbi, G. Malaspina,
  P. Conconi, L. Nicastro, E. Palazzi, V. Testa, F. Vitali, L.A. Antonelli, J.
  Danziger, G. Tagliaferri, E. Meurs, S. Vergani, A. Fernandez-Soto, E.
  Distefano, G. Cutispoto, F. D'Alessio",astro-ph
Supernova Polarization and the Type IIn Classification,"  While the members of the Type IIn category of supernovae are united by the
presence of strong multicomponent Balmer emission lines in their spectra, they
are quite heterogeneous with respect to other properties such as Balmer line
profiles, light curves, strength of radio emission, and intrinsic brightness.
We are now beginning to see variety among SNe IIn in their polarimetric
characteristics as well, some but not all of which may be due to inclination
angle effects. The increasing number of known ""hybrid"" SNe with IIn-like
emission lines suggests that circumstellar material may be more common around
all types of SNe than previously thought. Investigation of the correlations
between spectropolarimetric signatures and other IIn attributes will help us
address the question of classification of ""interacting SNe"" and the possibility
of distinguishing different groups within the diverse IIn subclass.
",Jennifer L. Hoffman,astro-ph
"Near-Infrared Spectra of the Black Hole X-Ray Binary, A0620-00","  We present broadband NIR spectra of A0620-00 obtained with SpeX on the IRTF.
The spectrum is characterized by a blue continuum on which are superimposed
broad emission lines of HI and HeII and a host of narrower absorption lines of
neutral metals and molecules. Spectral type standard star spectra scaled to the
dereddened spectrum of A0620-00 in K exceed the A0620-00 spectrum in J and H
for all stars of spectral type K7V or earlier, demonstrating that the donor
star, unless later than K7V, cannot be the sole NIR flux source in A0620-00. In
addition, the atomic absorption lines in the K3V spectrum are too weak with
respect to those of A0620-00 even at 100% donor star contribution, restricting
the spectral type of the donor star in A0620-00 to later than K3V. Comparison
of the A0620-00 spectrum to scaled K star spectra indicates that the CO
absorption features are significantly weaker in A0620-00 than in field dwarf
stars. Fits of scaled model spectra of a Roche lobe-filling donor star to the
spectrum of A0620-00 show that the best match to the CO absorption lines is
obtained when the C abundance is reduced to [C/H] = -1.5. The donor star
contribution in the H waveband is determined to be 82+-2%. Combined with
previous published results from Froning & Robinson (2001) and Marsh et al.
(1994), this gives a precise mass for the black hole in A0620-00 of M_BH =
9.7+-0.6 M_solar.
","C.S. Froning, E.L. Robinson, and M.A. Bitner",astro-ph
Automated Generation of Layout and Control for Quantum Circuits,"  We present a computer-aided design flow for quantum circuits, complete with
automatic layout and control logic extraction. To motivate automated layout for
quantum circuits, we investigate grid-based layouts and show a performance
variance of four times as we vary grid structure and initial qubit placement.
We then propose two polynomial-time design heuristics: a greedy algorithm
suitable for small, congestion-free quantum circuits and a dataflow-based
analysis approach to placement and routing with implicit initial placement of
qubits. Finally, we show that our dataflow-based heuristic generates better
layouts than the state-of-the-art automated grid-based layout and scheduling
mechanism in terms of latency and potential pipelinability, but at the cost of
some area.
","Mark Whitney, Nemanja Isailovic, Yatish Patel, John Kubiatowicz",quant-ph
"Modeling the Spectral Energy Distribution and Variability of 3C 66A
  during the WEBT campaign of 2003 -- 2004","  The BL Lac object 3C 66A was observed in an extensive multiwavelength
monitoring campaign from July 2003 till April 2004. The spectral energy
distribution (SED) was measured over the entire electromagnetic spectrum, with
flux measurements from radio to X-ray frequencies and upper limits in the very
high energy (VHE) gamma-ray regime. Here, we use a time-dependent leptonic jet
model to reproduce the SED and optical spectral variability observed during our
multiwavelength campaign. Our model simulations could successfully reproduce
the observed SED and optical light curves and predict an intrinsic cutoff value
for the VHE gamma-ray emission at ~ 4 GeV. The effect of the optical depth due
to the intergalactic infrared background radiation (IIBR) on the peak of the
high-energy component of 3C 66A was found to be negligible. Also, the presence
of a broad line region (BLR) in the case of 3C 66A may play an important role
in the emission of gamma-ray photons when the emission region is very close to
the central engine, but further out, the production mechanism of hard X-ray and
gamma-ray photons becomes rapidly dominated by synchrotron self-Compton
emission. We further discuss the possibility of an observable X-ray spectral
variability pattern. The simulated results do not predict observable hysteresis
patterns in the optical or soft X-ray regimes for major flares on multi-day
time scales.
",M. Joshi and M. Boettcher,astro-ph
"The HARPS search for southern extra-solar planets. X. A m sin i = 11
  Mearth planet around the nearby spotted M dwarf GJ 674","  Context: How planet properties depend on stellar mass is a key diagnostic of
planetary formation mechanisms. Aims: This motivates planet searches around
stars which are significantly more massive or less massive than the Sun, and in
particular our radial velocity search for planets around very-low mass stars.
Methods: As part of that program, we obtained measurements of GJ 674, an M2.5
dwarf at d=4.5 pc, which have a dispersion much in excess of their internal
errors. An intensive observing campaign demonstrates that the excess dispersion
is due to two superimposed coherent signals, with periods of 4.69 and 35 days.
Results: These data are well described by a 2-planet Keplerian model where each
planet has a ~11 Mearth minimum mass. A careful analysis of the (low level)
magnetic activity of GJ 674 however demonstrates that the 35-day period
coincides with the stellar rotation period. This signal therefore originates in
a spot inhomogeneity modulated by stellar rotation. The 4.69-day signal on the
other hand is caused by a bona-fide planet, GJ 674b. Conclusion: Its detection
adds to the growing number of Neptune-mass planets around M-dwarfs, and
reinforces the emerging conclusion that this mass domain is much more populated
than the jovian mass range. We discuss the metallicity distributions of M dwarf
with and without planets and find a low 11% probability that they are drawn
from the same parent distribution. Moreover, we find tentative evidence that
the host star metallicity correlates with the total mass of their planetary
system.
","X. Bonfils, M. Mayor, X. Delfosse, T. Forveille, M. Gillon, C.
  Perrier, S. Udry, F. Bouchy, C. Lovis, F. Pepe, D. Queloz, N. C. Santos and
  J.-L. Bertaux",astro-ph
"An individual based model with global competition interaction:
  fluctuations effects in pattern formation","  We present some numerical results obtained from a simple individual based
model that describes clustering of organisms caused by competition. Our aim is
to show how, even when a deterministic description developed for continuum
models predicts no pattern formation, an individual based model displays well
defined patterns, as a consequence of fluctuations effects caused by the
discrete nature of the interacting agents.
","E. Brigatti, V. Schwammle and Minos A. Neto",cond-mat.stat-mech q-bio.PE
"A Comparison between Anomalous 6-cm H$_2$CO Absorption and CO(1-0)
  Emission in the L1204/S140","  We report observations of the dust cloud L1204 with the Onsala 25-m telescope
in the 6 cm (1$_{11}-1_{10}$) transition of \htco. The observed region includes
the
  S140 H${\alpha}$ arc. This spectral line is seen here in absorption against
the cosmic microwave background, indicating the presence of widespread warm
molecular gas at intermediate densities. Overall, the distributions of H$_2$CO
and CO (taken from the literature) are fairly similar, though significant
differences exist at small scales. Most notably, while the CO peak is nearly
coincident with the S140 H${\alpha}$ arc, the maximum H$_2$CO absorption is
clearly separated from it by a full 10$'$ beam ($\sim$ 3 pc). We argue that
these differences result from differing abundances and excitation requirements.
The CO(1-0) line is more optically thick and more biased towards warm gas than
the H$_2$CO 6 cm line. On the other hand, formaldehyde is more easily
photodissociated and is, therefore, a poorer tracer of the molecular gas
located immediately behind Photon Dominated Regions.
","Monica Ivette Rodriguez, Tommy Wiklind, Ronald J. Allen, Vladimir
  Escalante, and Laurent Loinard",astro-ph
Dimers on surface graphs and spin structures. II,"  In a previous paper, we showed how certain orientations of the edges of a
graph G embedded in a closed oriented surface S can be understood as discrete
spin structures on S. We then used this correspondence to give a geometric
proof of the Pfaffian formula for the partition function of the dimer model on
G. In the present article, we generalize these results to the case of compact
oriented surfaces with boundary. We also show how the operations of cutting and
gluing act on discrete spin structures and how they change the partition
function. These operations allow to reformulate the dimer model as a quantum
field theory on surface graphs.
","David Cimasoni, Nicolai Reshetikhin",math-ph math.GT math.MP
"New version announcement for TaylUR, an arbitrary-order diagonal
  automatic differentiation package for Fortran 95","  We present a new version of TaylUR, a Fortran 95 module to automatically
compute the numerical values of a complex-valued function's derivatives with
respect to several variables up to an arbitrary order in each variable, but
excluding mixed derivatives. The new version fixes a potentially serious bug in
the code for exponential-related functions that could corrupt the imaginary
parts of derivatives, as well as being compatible with a wider range of
compilers.
",Georg M. von Hippel,physics.comp-ph
Mapping radii of metric spaces,"  It is known that every closed curve of length \leq 4 in R^n (n>0) can be
surrounded by a sphere of radius 1, and that this is the best bound. Letting S
denote the circle of circumference 4, with the arc-length metric, we here
express this fact by saying that the ""mapping radius"" of S in R^n is 1.
  Tools are developed for estimating the mapping radius of a metric space X in
a metric space Y. In particular, it is shown that for X a bounded metric space,
the supremum of the mapping radii of X in all convex subsets of normed metric
spaces is equal to the infimum of the sup norms of all convex linear
combinations of the functions d(x,-): X --> R (x\in X).
  Several explicit mapping radii are calculated, and open questions noted.
",George M. Bergman (U.C.Berkeley),math.MG
A New Model For The Loop-I (The North Polar Spur) Region,"  The North Polar Spur (NPS) is the brightest filament of Loop I, a large
circular feature in the radio continuum sky. In this paper, a model consisting
of two synchrotron emitting shells is presented that reproduces large-scale
structures revealed by recent polarization surveys. The polarized emission of
the NPS is reproduced by one of these shells. The other shell, which passes
close to the Sun, gives rise to polarized emission towards the Galactic poles.
It is proposed that X-ray emission seen towards the NPS is produced by
interaction of the two shells. Two OB-associations coincide with the centers of
the shells. A formation scenario of the Loop I region is suggested.
",M. Wolleben,astro-ph
Leray numbers of projections and a topological Helly type theorem,"  Let X be a simplicial complex on the vertex set V. The rational Leray number
L(X) of X is the minimal d such that the rational reduced homology of any
induced subcomplex of X vanishes in dimensions d and above. Let \pi be a
simplicial map from X to a simplex Y, such that the cardinality of the preimage
of any point in |Y| is at most r. It is shown that L(\pi(X)) \leq r L(X)+r-1.
One consequence is a topological extension of a Helly type result of Amenta.
",Gil Kalai and Roy Meshulam,math.CO
q-Deformed spin foam models of quantum gravity,"  We numerically study Barrett-Crane models of Riemannian quantum gravity. We
have extended the existing numerical techniques to handle q-deformed models and
arbitrary space-time triangulations. We present and interpret expectation
values of a few selected observables for each model, including a spin-spin
correlation function which gives insight into the behaviour of the models. We
find the surprising result that, as the deformation parameter q goes to 1
through roots of unity, the limit is discontinuous.
","Igor Khavkine, J. Daniel Christensen",gr-qc
HI velocity dispersion in NGC 1058,"  We present excellent resolution and high sensitivity Very Large Array (VLA)
observations of the 21cm HI line emission from the face-on galaxy NGC 1058,
providing the first reliable study of the HI profile shapes throughout the
entire disk of an external galaxy. Our observations show an intriguing picture
of the interstellar medium; throughout this galaxy velocity-- dispersions range
between 4 to 15 km/sec but are not correlated with star formation, stars or the
gaseous spiral arms. The velocity dispersions decrease with radius, but this
global trend has a large scatter as there are several isolated, resolved
regions of high dispersion. The decline of star light with radius is much
steeper than that of the velocity dispersions or that of the energy in the gas
motions.
",A. O. Petric and M. P. Rupen,astro-ph
Common Envelope Evolution Redux,"  Common envelopes form in dynamical time scale mass exchange, when the
envelope of a donor star engulfs a much denser companion, and the core of the
donor plus the dense companion star spiral inward through this dissipative
envelope. As conceived by Paczynski and Ostriker, this process must be
responsible for the creation of short-period binaries with degenerate
components, and, indeed, it has proven capable of accounting for short-period
binaries containing one white dwarf component. However, attempts to reconstruct
the evolutionary histories of close double white dwarfs have proven more
problematic, and point to the need for enhanced systemic mass loss, either
during the close of the first, slow episode of mass transfer that produced the
first white dwarf, or during the detached phase preceding the final, common
envelope episode. The survival of long-period interacting binaries with massive
white dwarfs, such as the recurrent novae T CrB and RS Oph, also presents
interpretative difficulties for simple energetic treatments of common envelope
evolution. Their existence implies that major terms are missing from usual
formulations of the energy budget for common envelope evolution. The most
plausible missing energy term is the energy released by recombination in the
common envelope, and, indeed, a simple reformulation the energy budget
explicitly including recombination resolves this issue.
",Ronald F. Webbink (University of Illinois at Urbana-Champaign),astro-ph
The Source of Turbulence in Astrophysical Disks: An Ill-posed Problem.,"  An critical overview of the current state of research in turbulence in
astrophysical disks.
",Denis Richard,astro-ph
On Punctured Pragmatic Space-Time Codes in Block Fading Channel,"  This paper considers the use of punctured convolutional codes to obtain
pragmatic space-time trellis codes over block-fading channel. We show that good
performance can be achieved even when puncturation is adopted and that we can
still employ the same Viterbi decoder of the convolutional mother code by using
approximated metrics without increasing the complexity of the decoding
operations.
","Samuele Bandi, Luca Stabellini, Andrea Conti and Velio Tralli",cs.IT cs.CC math.IT
On the Markov trace for Temperley--Lieb algebras of type $E_n$,"  We show that there is a unique Markov trace on the tower of Temperley--Lieb
type quotients of Hecke algebras of Coxeter type $E_n$ (for all $n \geq 6$). We
explain in detail how this trace may be computed easily using tom Dieck's
calculus of diagrams. As applications, we show how to use the trace to show
that the diagram representation is faithful, and to compute leading
coefficients of certain Kazhdan--Lusztig polynomials.
",R.M. Green,math.QA
"Second Order Perturbative Calculation of Quasinormal Modes of
  Schwarzschild Black Holes","  We analytically calculate to second order the correction to the asymptotic
form of quasinormal frequencies of four dimensional Schwarzschild black holes
based on the monodromy analysis proposed by Motl and Neitzke. Our results are
in good agreement with those obtained from numerical calculation.
",Hsien-chung Kao,hep-th gr-qc
Epitaxial graphene,"  Graphene multilayers are grown epitaxially on single crystal silicon carbide.
This system is composed of several graphene layers of which the first layer is
electron doped due to the built-in electric field and the other layers are
essentially undoped. Unlike graphite the charge carriers show Dirac particle
properties (i.e. an anomalous Berry's phase, weak anti-localization and square
root field dependence of the Landau level energies). Epitaxial graphene shows
quasi-ballistic transport and long coherence lengths; properties which may
persists above cryogenic temperatures. Paradoxically, in contrast to exfoliated
graphene, the quantum Hall effect is not observed in high mobility epitaxial
graphene. It appears that the effect is suppressed due to absence of localized
states in the bulk of the material.Epitaxial graphene can be patterned using
standard lithography methods and characterized using a wide array of
techniques. These favorable features indicate that interconnected room
temperature ballistic devices may be feasible for low dissipation high-speed
nanoelectronics.
","Walt A. de Heer, Claire Berger, Xiaosong Wu, Phillip N. First, Edward
  H. Conrad, Xuebin Li, Tianbo Li, Michael Sprinkle, Joanna Hass, Marcin L.
  Sadowski, Marek Potemski, Gerard Martinez",cond-mat.mes-hall cond-mat.mtrl-sci
Mathematics of thermoacoustic tomography,"  The paper presents a survey of mathematical problems, techniques, and
challenges arising in the Thermoacoustic and Photoacoustic Tomography.
",Peter Kuchment and Leonid Kunyansky,math.AP math-ph math.MP
Search for Very High Energy Emission from Gamma-Ray Bursts using Milagro,"  Gamma-Ray Bursts (GRBs) have been detected at GeV energies by EGRET and
models predict emission at > 100 GeV. Milagro is a wide field (2 sr) high duty
cycle (> 90 %) ground based water Cherenkov detector that records extensive air
showers in the energy range 100 GeV to 100 TeV. We have searched for very high
energy emission from a sample of 106 gamma-ray bursts (GRB) detected since the
beginning of 2000 by BATSE, BeppoSax, HETE-2, INTEGRAL, Swift or the IPN. No
evidence for emission from any of the bursts has been found and we present
upper limits from these bursts.
",Pablo M. Saz Parkinson (Milagro Collaboration),astro-ph
"Specific heat and bimodality in canonical and grand canonical versions
  of the thermodynamic model","  We address two issues in the thermodynamic model for nuclear disassembly.
Surprisingly large differences in results for specific heat were seen in
predictions from the canonical and grand canonical ensembles when the nuclear
system passes from liquid-gas co-existence to the pure gas phase. We are able
to pinpoint and understand the reasons for such and other discrepancies when
they appear. There is a subtle but important difference in the physics
addressed in the two models. In particular if we reformulate the parameters in
the canonical model to better approximate the physics addressed in the grand
canonical model, calculations for observables converge. Next we turn to the
issue of bimodality in the probability distribution of the largest fragment in
both canonical and grand canonical ensembles. We demonstrate that this
distribution is very closely related to average multiplicities. The
relationship of the bimodal distribution to phase transition is discussed.
","G. Chaudhuri, S. Das Gupta",nucl-th
"Vortex proliferation in the Berezinskii-Kosterlitz-Thouless regime on a
  two-dimensional lattice of Bose-Einstein condensates","  We observe the proliferation of vortices in the
Berezinskii-Kosterlitz-Thouless regime on a two-dimensional array of
Josephson-coupled Bose-Einstein condensates. As long as the Josephson
(tunneling) energy J exceeds the thermal energy T, the array is vortex-free.
With decreasing J/T, vortices appear in the system in ever greater numbers. We
confirm thermal activation as the vortex formation mechanism and obtain
information on the size of bound vortex pairs as J/T is varied.
","V. Schweikhard, S. Tung, and E. A. Cornell",cond-mat.mes-hall
The core binary fractions of star clusters from realistic simulations,"  We investigate the evolution of binary fractions in star clusters using
N-body models of up to 100000 stars. Primordial binary frequencies in these
models range from 5% to 50%. Simulations are performed with the NBODY4 code and
include a full mass spectrum of stars, stellar evolution, binary evolution and
the tidal field of the Galaxy. We find that the overall binary fraction of a
cluster almost always remains close to the primordial value, except at late
times when a cluster is near dissolution. A critical exception occurs in the
central regions where we observe a marked increase in binary fraction with time
-- a simulation starting with 100000 stars and 5% binaries reached a core
binary frequency as high as 40% at the end of the core-collapse phase
(occurring at 16 Gyr with ~20000 stars remaining). Binaries are destroyed in
the core by a variety of processes as a cluster evolves, but the combination of
mass-segregation and creation of new binaries in exchange interactions produces
the observed increase in relative number. We also find that binaries are cycled
into and out of cluster cores in a manner that is analogous to convection in
stars. For models of 100000 stars we show that the evolution of the core-radius
up to the end of the initial phase of core-collapse is not affected by the
exact value of the primordial binary frequency (for frequencies of 10% or
less). We discuss the ramifications of our results for the likely primordial
binary content of globular clusters.
","Jarrod R. Hurley, Sverre J. Aarseth, Michael M. Shara",astro-ph
Approaching the Heisenberg limit in an atom laser,"  We present experimental and theoretical results showing the improved beam
quality and reduced divergence of an atom laser produced by an optical Raman
transition, compared to one produced by an RF transition. We show that Raman
outcoupling can eliminate the diverging lens effect that the condensate has on
the outcoupled atoms. This substantially improves the beam quality of the atom
laser, and the improvement may be greater than a factor of ten for experiments
with tight trapping potentials. We show that Raman outcoupling can produce atom
lasers whose quality is only limited by the wavefunction shape of the
condensate that produces them, typically a factor of 1.3 above the Heisenberg
limit.
","M. Jeppesen, J. Dugu\'e, G. R. Dennis, M. T. Johnsson, C. Figl, N. P.
  Robins and J. D. Close",physics.atom-ph cond-mat.other
A practical Seedless Infrared-Safe Cone jet algorithm,"  Current cone jet algorithms, widely used at hadron colliders, take event
particles as seeds in an iterative search for stable cones. A longstanding
infrared (IR) unsafety issue in such algorithms is often assumed to be solvable
by adding extra `midpoint' seeds, but actually is just postponed to one order
higher in the coupling. A proper solution is to switch to an exact seedless
cone algorithm, one that provably identifies all stable cones. The only
existing approach takes N 2^N time to find jets among N particles, making it
unusable at hadron level. This can be reduced to N^2 ln(N) time, leading to
code (SISCone) whose speed is similar to that of public midpoint
implementations. Monte Carlo tests provide a strong cross-check of an
analytical proof of the IR safety of the new algorithm, and the absence of any
'R_{sep}' issue implies a good practical correspondence between parton and
hadron levels. Relative to a midpoint cone, the use of an IR safe seedless
algorithm leads to modest changes for inclusive jet spectra, mostly through
reduced sensitivity to the underlying event, and significant changes for some
multi-jet observables.
",Gavin P. Salam and Gregory Soyez,hep-ph
"Isospin breaking in the yield of heavy meson pairs in e+e- annihilation
  near threshold","  We revisit the problem of interplay between the strong and the Coulomb
interaction in the charged-to-neutral yield ratio for $B {\bar B}$ and $D {\bar
D}$ pairs near their respective thresholds in $e^+e^-$ annihilation. We
consider here a realistic situation with a resonant interaction in the isospin
I=0 channel and a nonresonant strong scattering amplitude in the I=1 state. We
find that the yield ratio has a smooth behavior depending on the scattering
phase in the I=1 channel. The same approach is also applicable to the $K {\bar
K}$ production at the $\phi(1020)$ resonance, where the Coulomb effect in the
charged-to-neutral yield ratio is generally sensitive to the scattering phases
in both the isoscalar and the isovector channels. Furthermore, we apply the
same approach to the treatment of the effect of the isotopic mass difference
between the charged and neutral mesons and argue that the strong-scattering
effects generally result in a modification to the pure kinematical effect of
this mass difference.
","S. Dubynskiy, A. Le Yaouanc, L. Oliver, J.-C. Raynal and M.B. Voloshin",hep-ph
QED x QCD Resummation and Shower/ME Matching for LHC Physics,"  We present the theory of QED x QCD resummation and its interplay with
shower/matrix element matching in precision LHC physics scenarios. We
illustrate the theory using single heavy gauge boson production at hadron
colliders.
",B.F.L. Ward and S.A. Yost,hep-ph
"On the number of topological types occurring in a parametrized family of
  arrangements","  Let ${\mathcal S}(\R)$ be an o-minimal structure over $\R$, $T \subset
\R^{k_1+k_2+\ell}$ a closed definable set, and $$ \displaylines{\pi_1:
\R^{k_1+k_2+\ell}\to \R^{k_1 + k_2}, \pi_2: \R^{k_1+k_2+\ell}\to \R^{\ell}, \
\pi_3: \R^{k_1 + k_2} \to \R^{k_2}} $$ the projection maps.
  For any collection ${\mathcal A} = \{A_1,...,A_n\}$ of subsets of
$\R^{k_1+k_2}$, and $\z \in \R^{k_2}$, let $\A_\z$ denote the collection of
subsets of $\R^{k_1}$, $\{A_{1,\z},..., A_{n,\z}\}$, where $A_{i,\z} = A_i \cap
\pi_3^{-1}(\z), 1 \leq i \leq n$. We prove that there exists a constant $C =
C(T) > 0,$ such that for any family ${\mathcal A} = \{A_1,...,A_n\}$ of
definable sets, where each $A_i = \pi_1(T \cap \pi_2^{-1}(\y_i))$, for some
$\y_i \in \R^{\ell}$, the number of distinct stable homotopy types of $\A_\z,
\z \in \R^{k_2}$, is bounded by $ \displaystyle{C \cdot n^{(k_1+1)k_2},} $
while the number of distinct homotopy types is bounded by $ \displaystyle{C
\cdot n^{(k_1+3)k_2}.} $ This generalizes to the general o-minimal setting,
bounds of the same type proved in \cite{BV} for semi-algebraic and
semi-Pfaffian families. One main technical tool used in the proof of the above
results, is a topological comparison theorem which might be of independent
interest in the study of arrangements.
",Saugata Basu,math.CO math.GT
"Generalized Twistor Transform And Dualities, With A New Description of
  Particles With Spin, Beyond Free and Massless","  A generalized twistor transform for spinning particles in 3+1 dimensions is
constructed that beautifully unifies many types of spinning systems by mapping
them to the same twistor, thus predicting an infinite set of duality relations
among spinning systems with different Hamiltonians. Usual 1T-physics is not
equipped to explain the duality relationships and unification between these
systems. We use 2T-physics in 4+2 dimensions to uncover new properties of
twistors, and expect that our approach will prove to be useful for practical
applications as well as for a deeper understanding of fundamental physics.
Unexpected structures for a new description of spinning particles emerge. A
unifying symmetry SU(2,3) that includes conformal symmetry SU(2,2)=SO(4,2) in
the massless case, turns out to be a fundamental property underlying the
dualities of a large set of spinning systems, including those that occur in
high spin theories. This may lead to new forms of string theory backgrounds as
well as to new methods for studying various corners of M theory. In this paper
we present the main concepts, and in a companion paper we give other details.
",Itzhak Bars and Bora Orcal,hep-th
Remnant evolution after a carbon-oxygen white dwarf merger,"  We systematically explore the evolution of the merger of two carbon-oxygen
(CO) white dwarfs. The dynamical evolution of a 0.9 Msun + 0.6 Msun CO white
dwarf merger is followed by a three-dimensional SPH simulation. We use an
elaborate prescription in which artificial viscosity is essentially absent,
unless a shock is detected, and a much larger number of SPH particles than
earlier calculations. Based on this simulation, we suggest that the central
region of the merger remnant can, once it has reached quasi-static equilibrium,
be approximated as a differentially rotating CO star, which consists of a
slowly rotating cold core and a rapidly rotating hot envelope surrounded by a
centrifugally supported disc. We construct a model of the CO remnant that
mimics the results of the SPH simulation using a one-dimensional hydrodynamic
stellar evolution code and then follow its secular evolution. The stellar
evolution models indicate that the growth of the cold core is controlled by
neutrino cooling at the interface between the core and the hot envelope, and
that carbon ignition in the envelope can be avoided despite high effective
accretion rates. This result suggests that the assumption of forced accretion
of cold matter that was adopted in previous studies of the evolution of double
CO white dwarf merger remnants may not be appropriate. Our results imply that
at least some products of double CO white dwarfs merger may be considered good
candidates for the progenitors of Type Ia supernovae. In this case, the
characteristic time delay between the initial dynamical merger and the eventual
explosion would be ~10^5 yr. (Abridged).
","Sung-Chul Yoon, Philipp Podsiadlowski and Stephan Rosswog",astro-ph
"Direct Theorems in the Theory of Approximation of the Banach Space
  Vectors by Entire Vectors of Exponential Type","  For an arbitrary operator A on a Banach space X which is a generator of
C_0-group with certain growth condition at the infinity, the direct theorems on
connection between the smoothness degree of a vector $x\in X$ with respect to
the operator A, the order of convergence to zero of the best approximation of x
by exponential type entire vectors for the operator A, and the k-module of
continuity are given. Obtained results allows to acquire Jackson-type
inequalities in many classic spaces of periodic functions and weighted $L_p$
spaces.
",Ya. Grushka and S. Torba,math.FA math.SP
